'arf             	fél/fele         
cached           	gyorsított       
cachet           	kapszula         
cackle           	gágogás          
cacophony        	hangzavar        
cactus           	kaktusz          
cad              	durva ember      
cadaver          	hullatetem       
cadaverous       	halálsápadt      
caddish          	durva viselkedésû
cadence          	záradék          
cadenza          	kadencia         
cadet            	fiatalabb        
cadge            	tarhálás         
cadger           	koldus           
cadre            	káder            
café             	kávéház          
cafe             	kávézó           
cafeteria        	önkiszolgáló étke
caffeine         	koffein          
cafõ             	kávéház          
cage             	kalitka          
cagey            	ravasz, óvatos   
cahoots          	összejátszik     
caisson          	keszon           
cajole           	cirógat          
cajolery         	hízelgés         
cake             	sütemény         
cakes and ale    	trakta           
cake-walk        	könnyû feladat   
calabash         	lopótök          
calamitous       	szerencsétlen    
calamity         	szerencsétlenség 
calcify          	elmeszesedik     
calcine          	mésszé ég        
calcium          	kálcium          
calculable       	kiszámítható     
calculate        	kiszámít         
calculate up     	számol vele      
calculate upon   	számít rá        
calculated       	kiszámított      
calculated risk  	tudatos kockázat 
calculating      	számoló          
calculation      	(ki)számítás     
calculator       	zsebszámológép   
calculus         	számítás         
calculuses       	számítások       
caldron          	üst katlan       
calendar         	naptár           
calendar watch   	naptáras óra     
calf             	borjú            
calf-love        	diákszerelem     
calf's teeth     	tejfogak         
caliber          	kaliber          
calibration      	bemérés          
calibre          	kaliber          
calico           	pamut kartonvászo
california       	kalifornia       
calk             	duggat           
call             	(meg)hív         
call a strike    	sztrájkot hirdet 
call around      	nézzen be        
call at          	látogatást tesz  
call back        	visszahív        
call down        	lehív/megdorgál  
call for         	kiált            
call for comment 	kritikát kíván   
call for help    	segélykiáltás    
call forth       	eredményez       
call in          	behiv            
call in question 	kétségbe von     
call names       	sérteget         
call off         	lelmond          
call on          	meglátogat       
call out         	kihív            
call out for     	kiált érte       
call out to      	odakiált         
call over        	áthív            
call signal      	hívójel          
call the roll    	névsort olvas    
call to account  	felelõsségre von 
call to mind     	eszébe juttatni  
call to order    	rendreutasít     
call to the bar  	ügyvéddé avat    
call up          	felhiv           
call upon        	felkéri          
call upon for    	hozzáfordul érte 
call.            	hívás            
callable         	hívható          
call-box         	telefonfülke     
call-card        	névjegykártya    
called           	hívott           
caller           	látogató         
callers          	hívók            
call-girl        	házhozhívható kur
calligraphy      	szép kézírás     
calling          	hívás            
calling card     	névjegy          
calliper         	mérõkörzõ        
calliper square  	tolómérce        
call-loan        	napi pénz        
callosity        	érzéketlenség    
callous          	érzéketlen       
callousness      	érzéketlenség    
call-over        	névsorolvasás    
callow           	tapasztalatlan   
calls            	hívások          
call-up          	behívó           
callus           	tyúkszem         
calm             	szélcsend        
calm down        	lecsillapodik    
calmness         	nyugalom         
calorie          	kalória          
calumniate       	megrágalmaz      
calumny          	rágalom          
calyx            	kehely           
camber           	ív hajlat        
cambric          	patyolat         
came             	jöttem           
came out first   	elsõ lett        
camel            	teve             
camel-hair       	teveszõr         
camera           	fényképezõgép    
cameraman        	fotoriporter     
camera-man       	operatõr         
cami-knickers    	ingnadrág        
camomile         	kamilla          
camouflage       	álcázás          
camp             	tábor            
camp light       	kempinglámpa     
campaign         	kampány          
campaigner       	harcos           
campavan         	sátorral felszere
camp-bed         	kempingágy       
camp-chair       	kempingszék      
camper           	táborozó         
camp-fever       	tífusz           
camp-fire        	tábortûz         
campground       	táborhely        
camphor          	kámfor           
camping          	kemping          
camping articles 	kempingcikkek    
camping site     	kemping          
camping stove    	kempingfõzõ      
camping table    	kempingasztal    
camping warden   	kempinggondnok   
camping-ground   	táborhely        
camp-on          	foglalt vonal hív
campsite         	táborhely        
camp-stool       	kempingszék      
camp-stove       	kempingfõzõ      
camshaft         	vezérmûtengely   
can              	képes            
can be exported  	kivihetõ         
can be obtained  	kapható          
can be used      	használható      
can do anything  	bármit is tehet  
can i have       	kaphatok         
can i help you   	segíthetek?      
can not          	nem tud/képes    
can use          	használhat       
can you see it?  	látod?           
can you swim?    	tudsz úszni?     
canada           	kanada           
canadian         	kanadai          
canadian-french  	kanadai-francia  
canal            	csatorna         
canary           	kanárimadár      
canasta          	kanaszta         
cancel           	érvénytelenít    
cancel out       	kiesnek          
cancellation     	törlés           
cancelled        	törölt           
cancels          	törlések         
cancer           	rák              
cancerous        	rákos beteg      
candelabrum      	gyertyatartó     
candid           	õszinte          
candidate        	jelölt           
candidness       	õszinteség       
candied          	cukrozott        
candle           	gyertya          
candle-light     	gyertyafény      
candlestick      	gyertyatartó     
candor           	õszinteség       
candour          	õszinteség       
candy            	édesség          
candy store      	édességbolt      
candystore       	édességbolt      
cane             	nád              
cane-sugar       	nádcukor         
canine           	kutyaféle        
caning           	megbotozás       
canister         	bádogdoboz       
canker           	ragya            
cankerous        	ragyás           
canned           	konzervált       
canned fish      	halkonzerv       
canned food      	készétel         
canned fruit     	befõtt(ek)       
canned meat      	húskonzerv       
cannery          	konzervgyár      
cannibal         	kannibál         
canning          	konzerválás      
canning industry 	konzervipar      
cannon           	ágyú             
cannon-ball      	ágyúgolyó        
cannon-fodder    	ágyútöltelék     
cannot           	nem tud          
canoe            	kenu             
canoening        	kajakozás/kenuzás
canon            	hiteles          
can-opener       	konzervnyitó     
canopy           	mennyezet        
canst            	te tudsz         
cant             	ferdeség         
can't            	nem tud          
can't be helped  	menthetetlen     
cantaloup        	sárgadinnye      
cantaloupe       	sárgadinnye      
cantankerous     	rosszindulatú    
canteen          	kantin           
canter           	könnyû vágta     
canticle         	dicshimnusz      
cantilever       	tartókar/konzol  
canto            	ének             
cantonment       	beszállásolás    
canvas           	vászon           
canvass          	korteskedés      
canvasser        	házaló           
canny            	okos             
canyon           	kanyon           
cap              	sapka            
cap-…-pie        	tetõtõl talpig   
capabilities     	képességek       
capability       	képesség         
capable          	képes            
capacious        	tágas            
capaciousness    	tágasság         
capacitate       	alkalmassá tesz  
capacity         	térfogat         
caparison        	feldíszít        
cape             	köpeny           
caper            	fickándozás      
capillary        	hajszálcsöves    
capital          	fõ               
capital goods    	tõkejavak        
capital letter   	nagy kezdõbetû   
capital stock    	alaptõke         
capitalism       	kapitalizmus     
capitalist       	tõkés            
capitalization   	tõkésítés        
capitally        	nagyszerûen      
capitation       	fejpénz          
capitol          	parlament        
capitulate       	kapitulál        
capon            	kappan           
caprice          	szeszély         
capricious       	szeszélyes       
capricorn        	baktérítõ        
capsicum         	paprika          
capsize          	felborul         
capstan          	csörlõ           
capsule          	kapszula         
captain          	kapitány         
caption          	felirat          
captious         	gáncsoskodó      
captivate        	elbájol          
captivation      	elbájolás        
captive          	fogoly           
captivity        	fogság           
captor           	foglyul ejtõ     
capture          	elfog            
capturing        	elfogás          
car              	autó             
car accident     	autóbaleset      
car aerial       	autóantenna      
car battery      	akku             
car body         	kocsiszekrény    
car cover        	autóponyva       
car mechanic     	szerelõ          
car park         	parkolóhely      
car polish       	autófényezõ      
car radio        	autórádió        
car rental       	autókölcsönzés   
car rug          	kocsitakaró      
car service      	autószervíz      
car shampoo      	autósampon       
car tyre         	gumiabroncs      
car washing      	autómosás        
carafe           	üvegkancsó       
caramel          	karamella        
carapace         	páncél           
carat            	karát            
caravan          	kempingautó      
caravan site     	lakókocsitábor   
caravanner       	lakókocsizó      
caravanning      	lakókocsis utazás
caravanserai     	karavánszálló    
caravel          	gyors kishajó    
caraway          	kömény           
caraway seed     	köménymag        
carbide          	karbid           
carbine          	karabély         
car-body         	karosszéria      
carbohydrate     	szénhidrát       
carbon           	szén             
carbon copy      	indigómásolat    
carbon ribbon    	festékszalag     
carbon-paper     	indigó           
carboy           	ballon           
carburetter      	porlasztó        
carburettor      	porlasztó        
carcase          	tetem            
carcase meat     	tõkehús          
carcass          	tetem            
card             	kártya           
card catalogue   	cédulakatalógus  
card file        	kartoték         
card index       	kartoték         
card trick       	kártyatrükk      
cardan-shaft     	kardántengely    
cardboard        	kartonpapír      
card-carrying    	tagdíjfizetõ     
carder           	kártoló          
cardia           	gyomorszáj       
cardiac failure  	szívelégtelenség 
cardigan         	kardigán         
cardinal         	legfõbb          
cardinal number  	tõszámnév        
cardinal numeral 	tõszámnév        
card-index       	kartotékol       
cards            	kártyák          
card-sharper     	hamiskártyás     
care             	gond             
care about       	törõdik vele     
career           	rohanás          
careerist        	karrierista      
carefree         	gondtalan        
careful          	gondos           
carefullness     	óvatosság        
carefully        	óvatosan         
careless         	gondatlan        
carelessness     	gondatlanság     
caress           	cirógatás        
caret            	hiányjel (^)     
caretaker        	házfelügyelõ     
careworn         	gondterhelt      
car-ferry        	komphajó         
cargo            	rakomány         
car-hire         	autókölcsönzés   
caribou          	rénszarvas       
caricature]      	karikatúra       
car-jack         	kocsiemelõ       
carnage          	vérontás         
carnal           	testi/nemi/érzéki
carnal knowledge 	nemi közösülés   
carnation        	szegfû           
carnival         	farsang          
carolina         	karolina         
carom            	karambolbiliárd  
carousal         	tivornya         
carouse          	iszik/mulat      
carousel         	körhinta         
carp             	ponty            
car-park         	parkolóhely      
carpenter        	ács              
carpentry        	ácsmesterség     
carpet           	szõnyeg          
carpet-bagger    	jöttment kalandor
carpet-slipper   	szövetpapucs     
car-port         	fedett parkoló   
carriage         	kocsi            
carriage free    	fuvar bérmentve  
carriage paid    	fuvar fizetve    
carriage return  	kocsi vissza     
carriage-drive   	kocsiút          
carriage-return  	kocsi-vissza     
carriageway      	úttest           
carried out      	végrehajtott     
carrier          	fuvaros          
carrier pigeon   	postagalamb      
carrier-bag      	bevásárlószatyor 
carrion          	dög              
carrion-crow     	varjú            
carrot           	répa             
carrots          	vöröshajú        
carroty          	vörös színû      
carry            	átvitel          
carry authority  	tekintélye van   
carry away       	elvisz           
carry conviction 	meggyõzõ         
carry forward    	átvisz           
carry interest   	kamatozik        
carry off        	elvisz/elnyer    
carry on         	folytat          
carry out        	végrehajt        
carry over       	átszállít        
carry the baby   	tartja a hátát   
carry the day    	gyõzelmet arat   
carry through    	végigcsinál      
carry too far    	túlzásba visz    
carry weight     	súlya van        
carry-cot        	mózeskosár       
carrying         	szállítás        
carrying basket  	mózeskosár       
carrying trade   	fuvarozás        
carry-on baggage 	kézipoggyász     
cart             	hintó            
cartage          	fuvarozás        
cartel           	kartell          
carter           	fuvaros          
cart-horse       	igásló           
cartilage        	porc             
cart-load        	rakomány         
cartographer     	térképész        
carton           	kartondoboz      
cartoned milk    	zacskós tej      
cartoon          	rajzfilm         
cartoonist       	karikaturista    
cartridge        	kazetta          
cart-road        	földút           
cart-wheel       	kocsikerék       
carve            	farag            
carving          	faragás          
carving-knife    	szeletelõkés     
carving-knives   	szeletelõkés     
car-wash         	autómosó         
cascade          	vízesés          
case             	eset             
case-book        	dokumentumgyûjtem
case-hardened    	acélos           
case-law         	esetjog          
case-lock        	zár-feltétel     
casemaps         	feltételrendszer 
casement         	ablakszárny      
casement-window  	szárnyas ablak   
case-report      	kórleírás        
cases            	esetek           
case-study       	esttanulmány     
casette          	kazetta          
casework         	esettanulmány    
case-worker      	szociális elõadó 
cash             	készpénz         
cash account     	kasszakontó      
cash and carry   	fizesd és vidd   
cash book        	pénztárkönyv     
cash box         	pénzszekrény     
cash in          	befizetés        
cash in hand     	készpénzállomány 
cash in on       	hasznot húz      
cash on delivery 	készpénzben      
cash price       	készpénztár      
cash register    	pénztárgép       
cash-account     	pénztárszámla    
cash-book        	pénztárkönyv     
cash-box         	pánzszekrény     
cash-desk        	pénztár          
cashier          	pénztáros        
cash-register    	pénztárgép       
casing           	tok              
casino           	kaszinó          
cask             	hordó            
casket           	ékszer(es)doboz  
casque           	sisak            
casseiver        	rádiósmagnó      
casserole        	serpenyõ         
cassette         	kazetta          
cast             	dobás            
cast a glance at 	rápillant        
cast a shadow    	árnyékot vet     
cast a veil over 	fátylat borít    
cast a vote      	szavaz           
cast about       	keresgél         
cast aside       	félredob         
cast clothing    	levetett ruhák   
cast down        	lehangol         
cast iron        	öntöttvas        
cast loose       	szabadjára enged 
cast lots        	sorsot húz       
cast of mind     	észjárás         
cast off         	elbocsájtás      
cast on          	elkezdi          
cast steel       	öntött acél      
cast the anchor  	horgonyt vet     
cast up          	összead          
castaway         	kitaszított      
caste            	kaszt            
castigate        	büntet           
casting          	szereposztás     
cast-iron        	merev/rideg      
castle           	kastély          
castles in spain 	légvárak         
cast-off         	levetett         
cast-offs        	levetett ruhák   
castor           	szóró            
castor sugar     	porcukor         
castor-oil       	ricinus          
castrate         	kiherélt         
castration       	kiherélés        
casual           	alkalmi          
casual hand      	alkalmi munkás   
casual labourer  	alkalmi munkás   
casualty         	halálos áldozat  
cat              	macska           
catafalque       	ravatal          
catalog          	katalógus        
catalogue        	katalógus        
catamaran        	katamarán        
catapult         	katapult         
cataract         	vízesés          
catastrophe      	katasztrófa      
catastrophic     	katasztrófális   
cat-burglar      	besurranó tolvaj 
catcall          	kifütyül         
catch            	elfog            
catch a blow     	leken egy fülest 
catch a chill    	megfázik         
catch a tartar   	törököt fog      
catch alight     	lángra lobban    
catch at         	utánakap         
catch cold       	megfázni         
catch fire       	tüzet fog        
catch flies      	bámészkodik      
catch hold of    	megragad         
catch in the pan 	odaég <étel>     
catch on         	sikere van       
catch out        	rajtakap         
catch sight      	észrevesz        
catch sight of   	észreveszi       
catch the fancy  	megtetszik neki  
catch up         	utólér           
catch up with    	utólérni         
catcher          	megfogó          
catching         	fogás            
catchpenny       	blikkfangos      
catchphrase      	divatos szóhaszná
catchword        	divatos szó      
catchy           	ravasz           
catechize        	kikérdezés       
categorical      	feltétlen        
categories       	kategóriák       
category         	kategória        
catena           	lánc             
cater            	ellátni          
cater-cornered   	átlósan szemben  
catering         	ellátás          
catering trade   	vendéglátóipar   
caterpillar      	hernyó           
caterwaul        	nyivákol         
caterwauling     	nyivákolás       
catharsis        	lelki megtisztulá
cathartic        	hashajtó         
cathedral        	székesegyház     
catheter         	katéter          
cathode          	katód            
catholic         	katolikus        
catholicity      	elfogulatlanság  
cat-ice          	jéghártya        
catkin           	barka            
cat-lap          	lötty            
cat-nap          	szunyókálás      
cat-o'-nite-tails	kilencágú korbács
cat's-cradle     	levevõs játék    
cat's-eye        	macskaszem       
cats-eyes        	macskaszemek     
cat's-meat       	macskaeledel     
cat's-paw        	"palimadár"      
cat's-tail       	nádbuzogány      
catsup           	kecsap           
cattail          	nádbuzogány      
cattish          	alattomos        
cattle           	marha            
cat-walk         	keskeny út       
catty            	ravasz           
caught           	elfogott         
cauldron         	katlan           
cauliflower      	karfiol          
caulk            	duggat           
causal           	okozati          
causality        	okviszony        
causative        	mûveltetõ        
cause            	ok(oz)           
cause an effect  	ok és okozat     
cause and effect 	ok és okozat     
cause damage     	kárt okoz        
caused           	okozott          
causeless        	indokolatlan     
causeway         	gyalogút         
caustic          	csípõs           
caustic potash   	lúgkõ            
cauterize        	kiéget           
caution          	óvatosság        
cautionary       	óva intõ         
cautious         	óvatos           
cautiousness     	óvatosság        
cavalcade        	kavalkád         
cavalier         	fennhéjázó       
cavalry          	lovasság         
cavalryman       	huszár           
cave             	barlang          
cave in          	megadja magát    
caveat           	óva intés        
cave-dweller     	barlanglakó      
caveman          	ösztönember      
cavern           	üreg             
cavernous        	üreges           
caviar           	kaviár           
cavil            	szõröz           
cavity           	üreg             
cavort           	fickándozik      
caw              	krákog           
cease            	megállás         
cease fire!      	tüzet szüntess!  
cease-fire       	tûzszünet        
ceaseless        	szüntelen        
cedar            	cédrus           
cede             	engedményezés    
ceiling          	plafon           
celebrate        	ünnepel          
celebrated       	ünnepelt         
celebration      	ünneplés         
celebrity        	hírnév           
celery           	zeller           
celestial        	mennyei/égi      
celestial body   	égitest          
celibacy         	nõtlenség        
celibate         	nõtlen           
cell             	cella            
cellar           	pince            
cellarage        	pincehelyiség    
cello            	cselló           
cellophane       	celofán          
cellular         	sejtes           
cement           	cement           
cement mixer     	betonkeverõ      
cemented         	ragasztott       
cemetery         	temetõ           
cenripetal       	központkeresõ    
cense            	tömjénez         
censer           	tömjénezõ        
censor           	cenzor           
censure          	cenzúra          
census           	összeírás        
cent             	cent             
centenary        	centenárium      
center           	közép            
centigrade       	százas beosztás  
centile          	százalék         
centimeter       	centiméter       
centimetre       	centiméter       
centipede        	százlábú         
central          	központi         
central heating  	központi fûtés   
central island   	járdasziget      
central reserve  	elválasztó sáv   
centralize       	központosít      
centralized      	központosított   
centre           	középpont        
centre forward   	középcsatár      
centre line      	záróvonal        
centre-forward   	középcsatár      
centre-half      	középfedezet     
centre-piece     	asztaldísz       
centrifuge       	centrifuga       
century          	évszázad         
ceramics         	kerámia          
ceramist         	keramikus        
cereal           	gabonapehely     
cereals          	gabonafélék      
ceremonial       	ünnepélyes       
ceremonious      	formális         
ceremony         	ünnepség         
cert             	tuti dolog       
cert.            	oklevél/bizonyítv
certain          	biztos           
certain of       	biztos           
certainly        	biztosan         
certainly not    	szó sincs róla   
certainly!       	hogyne, szívesen!
certainty        	bizonyosság      
certifiable      	igazolható       
certificate      	igazolvány       
certificated     	képesített       
certified        	igazolt          
certified copy   	hiteles másolat  
certify          	igazol           
certify to       	igazolást ad     
certitude        	bizonyosság      
cerulean         	égszínkék        
cerumen          	fülzsír          
cessation        	megszûnés        
cession          	lemondás         
cesspit          	emésztõgödör     
cesspool         	emésztõgödör     
chafe            	horzsolás        
chaff            	ingerlés         
chaffinch        	pinty            
chafing          	dörzsölés        
chafing-dish     	gyorsforraló     
chain            	lánc             
chain letter     	levélváltás      
chain lock       	biztonsági lánc  
chain of hotels  	szállodalánc     
chain of ideals  	gondolatsor      
chain of shops   	üzlethálózat     
chain store      	fióküzlet        
chain-bridge     	lánchíd          
chained          	láncolt          
chain-gang       	lácolt rabok     
chaining         	láncolás         
chain-letter     	levelezés        
chain-mail       	páncéling        
chain-reaction   	láncreakció      
chain-smooker    	cigirõl-cigire gy
chain-stitch     	láncöltés        
chair            	szék             
chair-back       	széktámla        
chair-lift       	libegõ           
chairman         	elnök            
chalet           	faház            
chalice          	kehely           
chalk            	kréta            
chalky           	sápadt           
challenge        	kihívás          
challenge-cup    	vándordíj        
challenger       	kihívó           
challenging      	kihívó           
chamber          	szoba            
chamber music    	kamarazene       
chamberlain      	kamarás          
chambermaid      	szobalány        
chamber-maid     	szobaasszony     
chamber-pot      	éjjeliedény      
chamfer          	rovátkol         
chamois leather  	szarvasbõr       
chamois-leather  	szarvasbõr       
champ            	rágcsál          
champagne        	pezsgõ           
champaign        	síkság           
champion         	bajnok           
championship     	bajnokság        
chance           	esély            
chance one's arm 	megreszkíroz     
chancel          	szentély         
chancellery      	követségi iroda  
chancery         	kancellária      
chancy           	kockázatos       
chandelier       	csillár          
chandler         	szatócs          
chanel           	csatorna         
change           	változás/csere   
change about     	hátra megfordul  
change at        	szálljon át      
change color     	elpirul/elsápad  
change colour    	elpirul/elsápad  
change gear      	sebességet vált  
change hands     	gazdát cserél    
change into      	átváltozás       
change lanes     	sávváltoztatás   
change money     	pénzt váltani    
change of life   	klimax           
change of tyre   	gumicsere        
change the gears 	sebességet vált  
change the mind  	mást határoz     
change up        	gyorsít          
changeable       	változékony      
changeableness   	változékonyság   
changed          	változtatott     
changege down    	csökkent         
changeless       	változatlan      
change-of-disk   	lemez-csere      
change-over      	helycsere        
changer          	pénzváltó        
changes          	cserék           
changing         	változás         
changing-room    	öltözõ           
channel          	csatorna         
chant            	ének             
chanticleer      	kakas            
chaos            	káosz            
chaotic          	zûrzavaros       
chap             	pasas/pofa       
chap-fallen      	lógó állú        
chaplain         	lelkész          
chaplet          	rózsafûzér       
chapped          	állkapocs        
chapter          	fejezet          
chapters         	fejezetek        
char             	alkalmi munka    
character        	jelleg           
character buffer 	jeltároló        
character output 	karakter kimenet 
character-clocks 	karakter-óra     
characteristics  	jellemzõ         
characterize     	jellemez         
characterless    	jellemtelen      
characters       	jelek            
character-set    	karakterkészlet  
charcoal         	faszén           
charcoal-burner  	szénégetõ        
chard            	fehérrépa        
charge           	költség          
charge account   	folyószámla      
charge for       	okol             
charge with      	vádol            
chargeable       	felszámítható    
charge-account   	folyószámla      
charged          	elszámolt        
charged!         	feszültség alatt!
charger          	vádló            
charges          	költségek        
charging         	árammal töltés   
charisma         	személyes varázs 
charitable       	jótékony         
charity          	jótékonyság      
charlatan        	kuruzsló/kókler  
charle's wain    	göncölszekér     
charlotte        	gyümölcspuding   
charm            	báj              
charm away       	eltüntet         
charmer          	elbûvölõ teremtés
charming         	bájos            
charnel-house    	kripta           
chars            	jelek            
chart            	táblázat         
charter          	külön            
charter member   	alapítótag       
chartered        	okleveles        
charwoman        	bejárónõ         
chary            	takarékos        
chase            	üldöz            
chaser           	üldözõ           
chasm            	szakadék         
chassis          	váz              
chaste           	szûzies          
chasten          	fegyelmez        
chastise         	megfenyít        
chastisement     	fenyítés         
chastity         	szûz(i)esség     
chat             	cseveg(és)       
chatted          	diskurál         
chattel          	ingó vagyon      
chatter          	fecsegés         
chatterbox       	locsifecsi       
chatterer        	locsifecsi       
chatty           	beszédes         
chauffeaur       	sofõr            
cheap            	olcsó            
cheapen          	árat leenged     
cheaper          	olcsóbb          
cheap-jack       	olcsójános       
cheapness        	olcsóság         
cheat            	csalás           
check            	ellenõrzés       
check in         	bejelenti magát  
check off        	kipipál          
check on         	ellenõriz        
check out        	kijelenti magát  
check point      	ellenõrzés       
check up         	kivizsgál        
check!           	sakk!            
checkbook        	csekkfüzet       
checked          	ellenõrzött      
checker          	ellenõr          
check-in         	jelentkezés      
checking         	ellenõrzés       
checkmate        	sarokba szorít   
checkout         	elutazás         
check-out        	pénztár          
checkroom        	poggyászmegõrzõ  
checks           	elenõrzések      
checkup          	ellenõrzés       
check-up         	ellenõrzés       
cheek            	arc              
cheek bone       	arccsont         
cheek by jowl    	fej fej mellett  
cheek to cheek   	szemtõl szembe   
cheeky           	szemtelen        
cheep            	csipog           
cheer            	kedv             
cheer up         	felvidul         
cheer up!        	fel a fejjel!    
cheered          	éljeneztek       
cheerful         	vidám            
cheerful about   	jókedvû          
cheering         	felvidító        
cheerio          	egészségére      
cheerless        	szomorú          
cheers           	egészségére      
cheers!          	egészségére!     
cheery           	vidám            
cheese           	sajt             
cheese sandwich  	sajtos szendvics 
cheesecake       	túróslepény      
cheese-cake      	aktfénykép       
cheese-cloth     	túrósbatyu       
cheese-curd      	túró             
cheesemonger     	sajtkereskedõ    
cheese-paring    	zsugoriság       
cheesy           	sajtszagú        
cheetah          	gepárd           
chef             	fõszakács        
chemical         	vegyi            
chemical manure  	mûtrágya         
chemise          	nõi ing          
chemist          	vegyész          
chemistry        	vegytan          
chemist's        	gyógyszertár     
cheque           	csekk            
cheque-book      	csekkfüzet       
chequer          	kockás           
cherish          	kedvel/babusgat  
chernobyl        	csernobil        
cheroot          	vágott szivar    
cherry           	cseresznye       
cherry-tree      	cseresznyefa     
cherub           	angyal           
chess            	sakk             
chess-board      	sakktábla        
chess-men        	sakkfigurák      
chess-piece      	sakkfigurák      
chest            	láda             
chest hair       	mellszõrzet      
chest of drawers 	komód            
chesterfield     	felsõkabát       
chestnut         	gesztenye        
cheval-glass     	forgatható állótü
chew             	rágni            
chew the cud     	kérõdzik         
chew upon        	töpreng          
chewing gum      	rágógumi         
chewing-gum      	rágógumi         
chicago          	chicago          
chicanery        	fondorlatoskodás 
chick            	kiscsaj          
chicken          	csirke           
chicken-feed     	aprópénz         
chicken-hearted  	félénk           
chicken-pox      	bárányhimlõ      
chicken-run      	baromfiudvar     
chick-pea        	csicseriborsó    
chickweed        	tyúkhúr          
chid             	szidott          
chidden          	leszidott        
chide            	szid             
chief            	fõnök            
chief steward    	fõpincér         
chiefly          	fõleg            
chiffonier       	fehérnemûs szekré
chilblain        	fagyás           
child            	gyermek          
child in arms    	karonülõ gyermek 
child-bearing    	szülés           
child-bed        	gyerekágy        
child-birth      	szülés           
childhood        	gyermekkor       
childish         	gyerekes         
childless        	gyermektelen     
childlike        	gyermeteg        
child-minder     	pótmama          
children         	gyerekek         
children's room  	gyerekszoba      
child's play     	gyerekjáték      
chili            	cseresznyepaprika
chill            	hideg            
chilled          	hûtött           
chilli           	cseresznyepaprika
chilly           	hûvös            
chime            	összhang         
chime in         	közbeszól        
chime in with    	összhangban van  
chime the bells  	harangozik       
chime together   	egyetért         
chimney          	kémény           
chimney corner   	kemencepadka     
chimney-corner   	kandallósarok    
chimney-hole     	kéménylyuk       
chimney-piece    	kandallópárkány  
chimney-pot      	kéményfej        
chimney-pot hat  	cilinder         
chimney-stack    	kéménysor        
chimney-sweep    	kéményseprõ      
chimpanzee       	csimpánz         
chin             	áll              
china            	porcelán         
chinatown        	kínai negyed     
chinaware        	porcelán         
chin-chin        	egészségünkre!   
chinese          	kínai            
chink            	pénz, dohány     
chin-wagging     	traccsolás       
chip             	áramköri lapka   
chip at          	gúnyol           
chip in          	beleszól         
chip in with     	hozzájárul       
chipmunk         	mókus            
chipped          	csorba           
chipped potatoes 	hasábburgonya    
chipper          	élénk            
chippings        	szilánkok        
chippy           	kurva            
chips            	burgonyaszirom   
chiropodist      	pedikûrös        
chiropody        	pedikûr          
chiropractic     	hátmasszázs      
chirp            	csiripelés       
chirpy           	élénk            
chirr            	ciripelés        
chirrup          	csicsergés       
chisel           	becsap           
chisell          	vés              
chiselled        	cizellált        
chiseller        	szélhámos/csaló  
chit             	gyerek/kölyök    
chit of a girl   	csitri           
chit-chat        	terefere         
chitterlings     	belsõségek       
chivalrous       	udvarias         
chivalry         	udvariasság      
chive            	snidling         
chivvy           	bosszant         
chivy            	ûz, hajszol      
chlorine         	klór             
chock            	tuskó            
chock up         	felékel          
chock-a-block    	összepréselve    
chock-full       	zsúfolt          
chocolate        	csokoládé        
chocolate milk   	kakaó            
choice           	választás        
choicely         	izlésesen        
choir            	énekkórus        
choir-boy        	karénekes        
choke            	(meg)fojtás      
choked           	eldugult         
choke-damp       	bányalég         
choker           	megfojtó         
choky            	fullasztó        
choler           	epe/harag        
choleric         	hirtelenharagú   
choose           	(ki)választ      
choosey          	válogatós        
choosing         	kiválasztás      
choosy           	finnyás          
chop             	hússzelet        
chop at          	rávág/rácsap     
chop down        	kivág            
chop fine        	apróra vagdal    
chop in          	közbeszól        
chop off         	lehasít/levág    
chop up          	feldarabol       
chop-house       	olcsó étterem    
chopped          	aprított         
chopper          	bárd             
chopping block   	húsvágó tõke     
chopping board   	húsvágó deszka   
choppy           	változékony      
chopsticks       	kínai evõpálcika 
chop-sticks      	evõpálcikák      
chop-suey        	kínai rizseshús  
choral           	énekkari         
chorale          	korál            
chord            	húr              
chore            	házimunka        
choreographer    	koreográfus      
choreography     	koreográfia      
chorister        	karnagy          
chortle          	kuncog           
chorus           	kórus            
chorus master    	karigazgató      
chorus-girl      	balettgörl       
chose            	választottam     
chosen           	válogatott       
chow             	kaja             
chowder          	halászlé         
christ           	krisztus         
christen         	elnevez "kereszte
christening      	keresztelõ       
christian        	keresztény       
christian name   	utónév           
christianity     	kereszténység    
christmas        	karácsony        
christmas carol  	karácsonyi ének  
christmas day    	karácsony napja  
christmas eve    	szenteste        
christmas-box    	karácsonyi ajándé
christmas-eve    	szenteste        
christmas-tide   	karácsony hete   
christmas-tree   	karácsonyfa      
chrome           	króm             
chrome steel     	krómacél         
chromium-plated  	krómozott        
chromosome       	kromoszóma       
chronic          	krónikus/idült   
chronicle        	krónika          
chronicle play   	történelmi dráma 
chronicler       	krónikás         
chubby           	pirospozsgás pufó
chuck            	abbahagy/eldob   
chuck about      	dobálódzik       
chuck away       	eldob            
chuck out        	kidob            
chuck up         	felad            
chucker-out      	kidobóember      
chuckle          	kuncogás         
chuckle-head     	tökfej           
chukker          	játékidõ         
chum             	pajtás           
chum up with     	összebarátkozik  
chummy           	bizalmas/baráti  
chump            	tuskó/tökfej     
chunks           	nagy darab       
chunky           	tagbaszakadt     
church           	templom          
church service   	istentisztelet   
churchman        	pap              
